Time,Site,Quadrat,Size,Count,Morphology
2019,NE_Orpheus,I,1,0,Branching
2019,NE_Orpheus,I,2,2,Branching
2019,NE_Orpheus,I,3,0,Branching
2019,NE_Orpheus,I,4,3,Branching
2019,NE_Orpheus,I,1,6,Other
2019,NE_Orpheus,I,2,14,Other
2019,NE_Orpheus,I,3,11,Other
2019,NE_Orpheus,I,4,7,Other
2019,NE_Orpheus,II,1,0,Branching
2019,NE_Orpheus,II,2,1,Branching
2019,NE_Orpheus,II,3,1,Branching
2019,NE_Orpheus,II,4,3,Branching
2019,NE_Orpheus,II,1,4,Other
2019,NE_Orpheus,II,2,10,Other
2019,NE_Orpheus,II,3,16,Other
2019,NE_Orpheus,II,4,12,Other
2019,NE_Orpheus,III,1,0,Branching
2019,NE_Orpheus,III,2,1,Branching
2019,NE_Orpheus,III,3,0,Branching
2019,NE_Orpheus,III,4,1,Branching
2019,NE_Orpheus,III,1,2,Other
2019,NE_Orpheus,III,2,2,Other
2019,NE_Orpheus,III,3,2,Other
2019,NE_Orpheus,III,4,9,Other
2019,Cattle_Bay,I,1,0,Branching
2019,Cattle_Bay,I,2,1,Branching
2019,Cattle_Bay,I,3,0,Branching
2019,Cattle_Bay,I,4,0,Branching
2019,Cattle_Bay,I,1,3,Other
2019,Cattle_Bay,I,2,5,Other
2019,Cattle_Bay,I,3,4,Other
2019,Cattle_Bay,I,4,3,Other
2019,Cattle_Bay,II,1,0,Branching
2019,Cattle_Bay,II,2,0,Branching
2019,Cattle_Bay,II,3,0,Branching
2019,Cattle_Bay,II,4,0,Branching
2019,Cattle_Bay,II,1,3,Other
2019,Cattle_Bay,II,2,4,Other
2019,Cattle_Bay,II,3,4,Other
2019,Cattle_Bay,II,4,3,Other
2019,Cattle_Bay,III,1,1,Branching
2019,Cattle_Bay,III,2,0,Branching
2019,Cattle_Bay,III,3,2,Branching
2019,Cattle_Bay,III,4,1,Branching
2019,Cattle_Bay,III,1,3,Other
2019,Cattle_Bay,III,2,11,Other
2019,Cattle_Bay,III,3,6,Other
2019,Cattle_Bay,III,4,9,Other
2019,NE_Pelorus,I,1,9,Branching
2019,NE_Pelorus,I,2,10,Branching
2019,NE_Pelorus,I,3,2,Branching
2019,NE_Pelorus,I,4,4,Branching
2019,NE_Pelorus,I,1,3,Other
2019,NE_Pelorus,I,2,6,Other
2019,NE_Pelorus,I,3,5,Other
2019,NE_Pelorus,I,4,8,Other
2019,NE_Pelorus,II,1,2,Branching
2019,NE_Pelorus,II,2,2,Branching
2019,NE_Pelorus,II,3,7,Branching
2019,NE_Pelorus,II,4,5,Branching
2019,NE_Pelorus,II,1,5,Other
2019,NE_Pelorus,II,2,8,Other
2019,NE_Pelorus,II,3,9,Other
2019,NE_Pelorus,II,4,19,Other
2019,NE_Pelorus,III,1,3,Branching
2019,NE_Pelorus,III,2,2,Branching
2019,NE_Pelorus,III,3,3,Branching
2019,NE_Pelorus,III,4,3,Branching
2019,NE_Pelorus,III,1,6,Other
2019,NE_Pelorus,III,2,13,Other
2019,NE_Pelorus,III,3,10,Other
2019,NE_Pelorus,III,4,16,Other
2019,W_Pelorus,I,1,0,Branching
2019,W_Pelorus,I,2,0,Branching
2019,W_Pelorus,I,3,1,Branching
2019,W_Pelorus,I,4,2,Branching
2019,W_Pelorus,I,1,0,Other
2019,W_Pelorus,I,2,6,Other
2019,W_Pelorus,I,3,3,Other
2019,W_Pelorus,I,4,8,Other
2019,W_Pelorus,II,1,0,Branching
2019,W_Pelorus,II,2,1,Branching
2019,W_Pelorus,II,3,3,Branching
2019,W_Pelorus,II,4,0,Branching
2019,W_Pelorus,II,1,3,Other
2019,W_Pelorus,II,2,13,Other
2019,W_Pelorus,II,3,9,Other
2019,W_Pelorus,II,4,7,Other
2019,W_Pelorus,III,1,0,Branching
2019,W_Pelorus,III,2,1,Branching
2019,W_Pelorus,III,3,1,Branching
2019,W_Pelorus,III,4,2,Branching
2019,W_Pelorus,III,1,6,Other
2019,W_Pelorus,III,2,13,Other
2019,W_Pelorus,III,3,13,Other
2019,W_Pelorus,III,4,10,Other
2019,LPioneer_Bay,I,1,0,Branching
2019,LPioneer_Bay,I,2,0,Branching
2019,LPioneer_Bay,I,3,3,Branching
2019,LPioneer_Bay,I,4,0,Branching
2019,LPioneer_Bay,I,1,10,Other
2019,LPioneer_Bay,I,2,8,Other
2019,LPioneer_Bay,I,3,17,Other
2019,LPioneer_Bay,I,4,11,Other
2019,LPioneer_Bay,II,1,0,Branching
2019,LPioneer_Bay,II,2,0,Branching
2019,LPioneer_Bay,II,3,2,Branching
2019,LPioneer_Bay,II,4,1,Branching
2019,LPioneer_Bay,II,1,5,Other
2019,LPioneer_Bay,II,2,11,Other
2019,LPioneer_Bay,II,3,10,Other
2019,LPioneer_Bay,II,4,4,Other
2019,LPioneer_Bay,III,1,0,Branching
2019,LPioneer_Bay,III,2,1,Branching
2019,LPioneer_Bay,III,3,1,Branching
2019,LPioneer_Bay,III,4,0,Branching
2019,LPioneer_Bay,III,1,7,Other
2019,LPioneer_Bay,III,2,10,Other
2019,LPioneer_Bay,III,3,9,Other
2019,LPioneer_Bay,III,4,7,Other
2019,NE_Pelorus,I,1,0,Branching
2019,NE_Pelorus,I,2,0,Branching
2019,NE_Pelorus,I,3,1,Branching
2019,NE_Pelorus,I,4,6,Branching
2019,NE_Pelorus,I,1,10,Other
2019,NE_Pelorus,I,2,7,Other
2019,NE_Pelorus,I,3,13,Other
2019,NE_Pelorus,I,4,11,Other
2019,NE_Pelorus,II,1,1,Branching
2019,NE_Pelorus,II,2,1,Branching
2019,NE_Pelorus,II,3,3,Branching
2019,NE_Pelorus,II,4,2,Branching
2019,NE_Pelorus,II,1,5,Other
2019,NE_Pelorus,II,2,9,Other
2019,NE_Pelorus,II,3,10,Other
