Year,Zone,Site,Acropora,Massive,AllHard,SoftCoral,AllAlgae
2021,No-take,CattleMid,0.17,0.08,0.48,0.13,0.12
2021,No-take,CattleMid,0.11,0.44,0.56,0.10,0.00
2021,No-take,CattleMid,0.13,0.16,0.55,0.15,0.08
2021,No-take,CattleMid,0.07,0.08,0.30,0.28,0.11
2021,No-take,CattleMid,0.20,0.07,0.32,0.30,0.00
2021,No-take,CattleMid,0.08,0.20,0.40,0.22,0.17
2021,No-take,CattleMid,0.02,0.13,0.30,0.15,0.10
2021,No-take,CattleMid,0.05,0.21,0.29,0.17,0.19
2021,No-take,CattleMid,0.13,0.27,0.51,0.03,0.01
2021,No-take,CattleMid,0.17,0.20,0.43,0.12,0.02
2021,No-take,CattleMid,0.22,0.09,0.36,0.11,0.11
2021,No-take,CattleMid,0.11,0.18,0.38,0.19,0.04
2021,No-take,CattleMid,0.17,0.13,0.37,0.09,0.18
2016,No-take,CattleMid,0.02,0.03,0.08,0.27,0.10
2016,No-take,CattleMid,0.07,0.02,0.11,0.35,0.07
2016,No-take,CattleMid,0.07,0.08,0.18,0.28,0.03
2016,No-take,CattleMid,0.05,0.07,0.15,0.17,0.05
2016,No-take,CattleMid,0.01,0.05,0.09,0.20,0.03
2016,No-take,CattleMid,0.07,0.06,0.16,0.18,0.06
2016,No-take,CattleMid,0.02,0.13,0.18,0.42,0.02
2016,No-take,CattleMid,0.08,0.07,0.18,0.02,0.04
2019,No-take,CattleMid,0.20,0.05,0.47,0.13,0.03
2019,No-take,CattleMid,0.25,0.15,0.43,0.27,0.18
2019,No-take,CattleMid,0.20,0.12,0.60,0.12,0.08
2019,No-take,CattleMid,0.32,0.03,0.61,0.15,0.05
2019,No-take,CattleMid,0.09,0.14,0.72,0.18,0.03
2019,No-take,CattleMid,0.15,0.05,0.38,0.15,0.10
2019,No-take,CattleMid,0.13,0.18,0.53,0.15,0.09
2019,No-take,CattleMid,0.13,0.07,0.40,0.17,0.00
2019,No-take,CattleMid,0.12,0.14,0.35,0.14,0.24
2019,No-take,CattleMid,0.16,0.12,0.35,0.29,0.16
2019,No-take,CattleMid,0.30,0.02,0.43,0.15,0.17
2019,No-take,CattleMid,0.10,0.10,0.25,0.30,0.07
2019,No-take,CattleMid,0.07,0.07,0.35,0.27,0.30
2020,No-take,CattleMid,0.10,0.15,0.33,0.15,0.30
2020,No-take,CattleMid,0.03,0.05,0.20,0.53,0.00
2020,No-take,CattleMid,0.09,0.09,0.69,0.00,0.31
2020,No-take,CattleMid,0.15,0.13,0.28,0.27,0.00
2020,No-take,CattleMid,0.02,0.08,0.32,0.12,0.05
2020,No-take,CattleMid,0.07,0.12,0.52,0.07,0.03
2020,No-take,CattleMid,0.10,0.03,0.27,0.23,0.27
2020,No-take,CattleMid,0.18,0.18,0.57,0.05,0.03
2020,No-take,CattleMid,0.13,0.25,0.52,0.12,0.22
2020,No-take,CattleMid,0.13,0.10,0.35,0.22,0.37
2020,No-take,CattleMid,0.10,0.22,0.43,0.17,0.25
2016,No-take,NEOrpheus,0.28,0.15,0.53,0.08,0.10
2016,No-take,NEOrpheus,0.18,0.17,0.35,0.00,0.23
2016,No-take,NEOrpheus,0.27,0.13,0.40,0.18,0.00
2016,No-take,NEOrpheus,0.15,0.50,0.65,0.02,0.00
2016,No-take,NEOrpheus,0.30,0.17,0.47,0.10,0.00
2016,No-take,NEOrpheus,0.21,0.18,0.39,0.00,0.37
2016,No-take,NEOrpheus,0.19,0.09,0.28,0.00,0.28
2016,No-take,NEOrpheus,0.37,0.33,0.70,0.00,0.05
2016,No-take,NEOrpheus,0.37,0.02,0.39,0.00,0.10
2016,No-take,NEOrpheus,0.22,0.10,0.32,0.00,0.13
2016,No-take,NEOrpheus,0.31,0.05,0.36,0.00,0.49
2020,Fishing,HazardMid,0.03,0.09,0.16,0.07,0.45
2020,Fishing,HazardMid,0.02,0.06,0.12,0.00,0.33
2020,Fishing,HazardMid,0.02,0.10,0.16,0.00,0.10
2020,Fishing,HazardMid,0.02,0.11,0.17,0.00,0.20
2020,Fishing,HazardMid,0.00,0.15,0.19,0.05,0.42
2020,Fishing,HazardMid,0.05,0.10,0.19,0.02,0.08
2020,Fishing,HazardMid,0.00,0.07,0.11,0.10,0.48
2020,Fishing,HazardMid,0.02,0.05,0.11,0.00,0.00
2020,Fishing,HazardMid,0.00,0.10,0.14,0.13,0.27
2020,Fishing,HazardMid,0.02,0.25,0.31,0.08,0.20
2020,Fishing,HazardMid,0.05,0.14,0.23,0.00,0.20
2020,Fishing,HazardMid,0.00,0.13,0.17,0.02,0.29
2020,Fishing,HazardMid,0.00,0.04,0.08,0.02,0.07
2019,Fishing,HazardMid,0.00,0.15,0.19,0.00,0.38
2019,Fishing,HazardMid,0.03,0.10,0.17,0.00,0.00
2019,Fishing,HazardMid,0.10,0.08,0.22,0.00,0.05
2019,Fishing,HazardMid,0.02,0.11,0.17,0.05,0.07
2019,Fishing,HazardMid,0.02,0.05,0.11,0.00,0.15
2019,Fishing,HazardMid,0.03,0.13,0.20,0.07,0.33
2019,Fishing,HazardMid,0.08,0.17,0.29,0.25,0.00
