,Site,Example,Little Pioneer Bay North,Snapper point,Cattle Bay,Little Pioneer Bay North,Snapper Point,Cattle Bay,Little Pioneer Bay North,Little Pioneer Bay North,Snapper Point,Snapper Point,Cattle Bay,Cattle Bay,Snapper point ,Snapper point ,Cattle bay ,Cattle bay ,Little Pioneer Bay North,Snapper Point,Cattle bay,Little Pioneer Bay North,Snapper Point,Cattle bay,Little Pioneer Bay North,Snapper Point,Cattle Bay,Pioneer Bay,Snapper Point,Cattle Bay,Little Pioneer Bay North,Snapper point,Cattle Bay,Little Pioneer Bay North,Little Pioneer Bay North,Snapper Point,Snapper Point,Cattle Bay,Cattle Bay,Snapper Pont,Cattle Bay,Hazard Bay,SW Pelorus,Iris Pt,Hazard Bay,SW Pelorus,Iris,Hazard Bay,SW Pelorus,Iris Point,Hazard Bay,SW Pelorus,Iris Point,Hazard Bay,SW Peloris,Iris Point,Hazard Bay,SW Pelorus,Ires Point,Hazard,SW Pelorus,Iris point,Hazard Bay,South West Pelorus,Iris Point,Hazard Bay,SW Pelorus,Iris Point,SW Pelorus,Clam Garden,SW Pelorus,Clam Garden,SW Pelorus visit #2,SW Pelorus visit #2,Clam Gardens,SW Pelorus visit #2,Clam Gardens,SW Pelorus visit #2,Clam Gardens,SW Pelorus visit #2,Clam Gardens,SW Pelorus visit #2,Clam Garden,SW Pelorus visit #2,Clam Gard.,Little Pioneer Bay South,Little Pioneer Bay South,Little Pioneer Bay South,Little Pioneer Bay South,Southwest Pelorus vist #2,Clam Gardens,Little Pioneer Bay South,Little Pioneer bay South,Little Pioneer Bay South,Little Pioneer Bay South
,Date,26-Sep,29-Sep,30-Sep,30-Sep,29-Sep,30-Sep,30-Sep,29-Sep,29-Sep,30-Sep,30-Sep,30-Sep,30-Sep,30-Sep,30-Sep,30-Sep,30-Sep,29-Sep,30-Sep,30-Sep,29-Sep,30-Sep,30-Sep,29-Sep,30-Sep,30-Sep,29-Sep,30-Sep,30-Sep,29-Sep,30-Sep,30-Sep,29-Sep,29-Sep,30-Sep,30-Sep,30-Sep,30-Sep,30-Sep,30-Sep,1-Oct,2-Oct,3-Oct,1-Oct,2-Oct,2-Oct,1-Oct,2-Oct,2-Oct,1-Oct,2-Oct,2-Oct,1-Oct,2-Oct,2-Oct,1-Oct,2-Oct,2-Oct,1-Oct,2-Oct,2-Oct,1-Oct,2-Oct,2-Oct,1-Oct,2-Oct,2-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,5-Oct,5-Oct,5-Oct,5-Oct,4-Oct,4-Oct,5-Oct,5-Oct,5-Oct,5-Oct
,Depth,2,0.5m ,0.5m ,0.5m ,,,,0-5m,0-5m,0-5m,0-5m,0-5m,0-5m,,,,,0.5,,,0.5,,,2m,2m,1.5m,3-4m,6-8m,4-6m,2,4-6m,2,1,1,3,3,0.76,0.76,2,2,1-2m,2.2m,2.3m,2,2,2,Dive 6m,Dive 6m,Dive 6m,,,,,,,1,"2,5",3,1.4,2.2,2.3,7,5,5,,,,5m,5m,5m,6m,,,,9,6,,,1.5,2.5,3,4,2,2,1,6m,6,2,,,,3,5m,2
,Group_names,G1_C&F,Tiff and val,Tiff and val,Tiff and val,G1_F&T,G1_F&T,G1_F&T,"Rachel, Klara, Matt","Rachel, Klara, Matt","Rachel, Klara, Matt","Rachel, Klara, Matt","Rachel, Klara, Matt","Rachel, Klara, Matt",Camille and madeina,Camille and madeina,Camille and madeina,Camille and madeina,G1_H&H,G1_H&H,G1_H&H,e&k,e&k,e&k,Tara & Emily,Tara & Emily,Tara & Emily,Julie Yoonjin,Julie Yoonjin,Julie Yoonjin,G1_J&K,J&K,J&K,JF & BC,JF & BC,J&B,J&B,J&B,J&B,G1_J&j,G1_J&J,G2_N&C,G2_N&C,G2_N&C,L&C,L&C,L&C,Lena & Rach,Lena & Rach,Lena & Rach,LW & GC,LW & GC,LW & GC,AP & ES,AP & ES,AP & ES,Scurvy Seadragons: Dana and Julie,Scurvy Seadragons: Dana and Julie,Scurvy Seadragons: Dana and Julie,"SB, Callaway & Mikaela","SB, Callaway & Mikaela","SB, Callaway & Mikaela",Alex & Michelle,Alex & Michelle,Alex & Michelle,Bailey and Midori,Bailey and Midori,Bailey and Midori,G3_Alicia&Aliya,G3_Alicia&Aliya,Bianca & Joan,Bianca & Joan,Jaimee + Kate,Jaimee + Kate,Jaimee + Kate,Gabby & Marissa,Gabby & Marissa,Will & Casey,Will & Casey,G3_Ann&Kathryn,G3_Ann & Kathryn,Appert - Archibald,Appert - Archibald,Baum_Thomas,Baum_Thomas,G3_A&K,Bianca & Joan,Gabby & Marissa,Julie&Laura,G3_S&N,G3_S&N,G3_S&N,Appert - Archibald,G3_Alicia&Aliya,Will & Casey
,Replicate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
Hard corals,Acropora,1,1,3,6,2,4,11,1,0,17,7,21,16,3,5,5,1,7,1,3,1,1,4,3,25,8,5,6,8,1,6,11,1,2,17,20,10,11,30,31,11,4,11,8,12,23,2,0,0,7,2,2,,3,4,,13,41,4,8,15,3,9,2,1,3,8,2,9,1,3,30,11,22,12,5,0,0,23,3,31,2,9,13,1,4,2,1,9,5,4,2,7,1
,Alveopora,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Astreopora,1,0,0,0,0,0,0,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
,Caulastrea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coeloseris,4,0,0,0,0,0,0,6,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coscinaraea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
