,Site,Example,Little Pioneer Bay North,Little Pioneer Bay North,Snapper point,Snapper Point,Cattle Bay,Cattle Bay,Little Pioneer Bay North,Little Pioneer Bay North,Little Pioneer Bay North,Little Pioneer Bay North,Snapper Point,Snapper Point,Cattle Bay,Cattle Bay,Cattle Bay,Little PioneerBay North,Little PioneerBay North,Little PioneerBay North,Snapper Point,Snapper Point,Snapper Point,Cattle Bay,Cattle Bay,Cattle Bay,Little Pioneer Bay North,Snapper Point,Cattle Bay,Little Pioneer Bay North,Little Pioneer Bay North,Snapper Point,Cattle Bay,Cattle Bay,Snapper Point,Cattle Bay,Cattle Bay,Little Pioneer North,Little Pioneer North,Snapper Point,Snapper Point,Cattle Bay,Cattle Bay,Little Pioneer Bay North,Little Pioneer Bay North,Snapper Point,Snapper Point,Cattle Bay,Cattle Bay,Little Pioneer Bay North,Snapper Point,Cattle Bay,Little Pioneer Bay North,Little Pioneer Bay North,Little Pioneer Bay North,Snapper Point,Snapper Point,Snapper Point,Cattle Bay,Cattle Bay,Little Pioneer Bay North,Snapper Point,Cattle Bay,Hazard Bay,SW Pelorus,Iris Pt,Hazard Bay,SW Pelorus ,Iris Pt,Harazrd Bay,SW Pelorus,Iris Point,Hazard Bay,SW Peloris,Iris Point,Hazard Bay,SW Peloris,Iris Point,Hazard Bay,SW Pelorus,Iris Point,Hazard Bay,SW Pelorous,Iris Point,Hazard Bay,South West Polorus,Iris Point,Hazard Bay,South West Polorus,Iris Point,SW Pelorus 2nd visit,Clam Garden,SW Pelorus 2nd visit,Clam Garden,SW Pelorus 2nd visit,SW Pelorus 2nd visit,Clam Garden,SW Pelorus 2nd visit,Clam Gardens,SW Pelorus 2nd visit,Clam Gardens,SW Pelorus 2nd visit,Clam Garden,SW Pelorus 2nd visit,Clam Gardens,SW Pelorus 2nd visit,SW Pelorus 2nd visit,Clam Garden,Southwest Pelorus #2,Clam Garden,Little Pioneer Bay South,Little Pioneer Bay South,Little Pioneer Bay South,Little Pioneer Bay S,Southwest Pelorus visit #2,Clam Gardens,Little Pioneer Bay South,Little Pioneer bay South,Little Pioneer bay South,Little Pioneer bay South,Little Pioneer Bay South,Little Pioneer Bay South
,Date,26-Sep,29-Sep,29-Sep,30-Sep,30-Sep,30-Sep,30-Sep,29-Sep,29-Sep,29-Sep,29-Sep,30-Sep,30-Sep,30-Sep,30-Sep,30-Sep,29-Sep,29-Sep,29-Sep,30-Sep,30-Sep,30-Sep,30-Sep,30-Sep,30-Sep,29-Sep,30-Sep,30-Sep,29-Sep,29-Sep,30-Sep,30-Sep,30-Sep,30-Sep,30-Sep,30-Sep,29-Sep,29-Sep,30-Sep,30-Sep,30-Sep,30-Sep,29-Sep,29-Sep,30-Sep,30-Sep,30-Sep,30-Sep,29-Sep,30-Sep,30-Sep,29-Sep,29-Sep,29-Sep,30-Sep,30-Sep,30-Sep,30-Sep,30-Sep,29-Sep,30-Sep,30-Sep,1-Oct,2-Oct,2-Oct,1-Oct,2-Oct,2-Oct,1-Oct,2-Oct,2-Oct,1-Oct,2-Oct,2-Oct,1-Oct,2-Oct,2-Oct,1-Oct,2-Oct,2-Oct,1-Oct,2-Oct,2-Oct,1-Oct,2-Oct,2-Oct,1-Oct,2-Oct,2-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,4-Oct,5-Oct,5-Oct,5-Oct,5-Oct,4-Oct,4-Oct,5-Oct,6-Oct,7-Oct,8-Oct,5-Oct,5-Oct
,Group_names,G1_C&F,Tiff&Val,Tiff&Val,Tiff&Val,Tiff&Val,Tiff&Val,Tiff&Val,G1_F&T,G1_F&T,G1_F&T,G1_F&T,G1_F&T,G1_F&T,G1_F&T,G1_F&T,G1_F&T,"Rachel, Klara, Matt","Rachel, Klara, Matt","Rachel, Klara, Matt","Rachel, Klara, Matt","Rachel, Klara, Matt","Rachel, Klara, Matt","Rachel, Klara, Matt","Rachel, Klara, Matt","Rachel, Klara, Matt",Camille and Madeina ,Camille and Madeina ,Camille and Madeina ,G1_H&H,G1_H&H,G1_H&H,G1_H&H,G1_H&H,e&k,e&k,e&k,Tara & Emily,Tara & Emily,Tara & Emily,Tara & Emily,Tara & Emily,Tara & Emily,Julie + Yoonjin,Julie + Yoonjin,Julie + Yoonjin,Julie + Yoonjin,Julie + Yoonjin,Julie + Yoonjin,G1_J&K,J&K,J&K,JF & BC,JF & BC,JF & BC,J&B,J&B,J&B,J&B,J&B,G1_J&J,G1_J&J,G1_J&J,G2_N&C,G2_N&C,G2_N&C,CB & LD,CB & LD,CB & LD,Lena & Rach,Lena & Rach,Lena & Rach,LW & GB,LW & GB,LW & GB,AP & ES,AP & ES,AP & ES,Scurvy Seadragons: Dana and Julie,Scurvy Seadragons: Dana and Julie,Scurvy Seadragons: Dana and Julie,"SB,CT & MW","SB,CT & MW","SB,CT & MW",Alex & Michelle,Alex & Michelle,Alex & Michelle,Bailey and Midori,Bailey and Midori,Bailey and Midori,G3_Alicia&Aliya,G3_Alicia&Aliya,Bianca & Joan,Bianca & Joan,Jaimee-Kate,Jaimee-Kate,Jaimee-Kate,Gabby & Marissa,Gabby & Marissa,Will & Casey,Will & Casey,G3_Ann&Kathryn,G3_Ann & Kathryn,Julie & Laura,Julie & Laura,Appert - Archibald,Appert - Archibald,Appert - Archibald,G3_Baum&Thomas,G3_Baum&Thomas,G3_A&K,Bianca & Joan,Gabby & Marissa,Julie&Laura,G3_S&N,G3_S&N,G3_S&N,Appert - Archibald,Appert - Archibald,Appert - Archibald,G3_Alicia&Aliya,Will & Casey
,Depth,2,0.5m,0.5m,,,,,,,,,,,,,,0-5m,0-5m,0-5m,0-5m,0-5m,0-5m,0-5m,0-5m,0-5m,,,,0.5m,0.5m,,,,,,,2m,2m,3m,3m,2m,2m,3-4m,3-4m,6-8m,6-8m,4-6m,4-6m,3,3,6-8m,1,1,1,3,3,3,3,3,2,2,2,1-2m,2.2m,2.3m,2m,2m,2m,Dive 6m,Dive 6m,Dive 6m,,,,,,,1,2,3,,,,7,5,5,0,0,5,5 m,5 m,5m,6m,,,,9,6,,,,,2,4,3,3,4,2,2,2,6m,7,2,,,,3,3,3,5m,2
,Replicate,1,1,2,1,2,1,2,1,2,3,4,1,2,1,2,3,1,2,3,1,2,3,1,2,3,1,1,1,1,2,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,2,3,1,2,3,3a,3b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1
Planktivores,Caesio,0,0,0,0,8,0,0,0,0,,0,0,0,0,0,0,0,10,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,4,7,0,2,0,1,0,0,3,0,0,0,16,0,4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20,0,5,0,1,1,0,0,10,0,0,5,0,80,0,0,0,0,17,22,0,0,0,0,0,0,0,29,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,1
,Pomacentrus,10,5,15,10,40,35,21,20,6,0,0,0,3,10,0,0,2,6,2,6,5,10,17,26,35,50,0,27,11,10,11,18,17,14,8,18,9,10,73,11,4,5,0,0,30,30,70,70,32,54,32,6,14,3,6,2,11,5,6,3,10,3,29,15,5,7,6,22,0,3,3,30,32,45,13,23,58,8,1,5,35,20,18,7,75,49,8,11,46,130,44,4,10,14,12,5,37,10,9,11,14,5,12,5,5,2,4,0,0,13,9,5,4,4,4,10,6,1,10,20,4
,Amblyglyphidodon,,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,62,2,3,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,0,5,0,0,1,0,1,0,0,0,0,0,1,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0
,Neopomacentrus,90,2,0,62,45,12,60,300,60,75,50,65,30,15,50,75,68,40,30,0,0,0,110,0,55,75,0,70,50,50,50,16,33,100,100,100,30,0,0,8,1,45,200,200,200,150,65,15,75,100,39,0,0,0,0,0,0,0,0,0,15,50,31,16,6,2,19,14,140,0,23,0,0,0,0,0,30,0,1,0,0,0,0,30,30,22,,10,4,140,150,25,0,1,6,0,70,100,80,90,3,56,100,52,50,100,80,22,33,36,10,80,105,0,10,10,50,2,0,200,26
,Abudefduf,2,6,2,1,2,2,1,4,6,10,6,3,0,4,15,8,1,3,2,21,0,2,0,1,0,8,25,15,0,2,1,0,23,1,6,0,15,0,2,16,13,24,4,5,2,3,11,7,7,3,9,0,0,0,4,1,0,3,5,0,7,4,3,0,0,0,3,0,2,0,0,0,0,0,0,1,4,1,0,2,1,7,0,2,2,0,2,3,0,2,0,0,0,8,5,2,0,3,0,6,0,2,6,6,7,1,4,2,0,0,0,0,1,2,1,2,4,4,0,2,0
,Acanthochromis,,2,4,3,2,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,3,0,0,0,0,6,18,2,0,6,1,1,2,1,2,0,0,0,0,1,9,7,4,1,1,3,7,20,32,0,0,0,0,1,0,0,0,0,50,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,30,3,0,0,6,0,3,0,1,1,0,8,0,3,0,3,3,2,3,0,5,0,5,16,3,3,3,1,2,5,12,17,4,1,0,0,0,0,0,0,0,0,1,1
,Chromis,,0,0,7,10,0,0,0,0,0,0,5,20,25,40,0,0,0,0,5,2,0,0,20,0,0,49,36,0,0,6,0,0,7,4,4,0,0,0,40,39,0,1,2,7,3,30,0,0,0,0,0,8,2,1,0,0,3,3,100,20,50,0,0,1,4,0,0,0,50,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,16,0,14,6,0,0,0,0,0,0,0,200,0,0,0,52,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,2,1,0,0,0
,Stegastes,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,5,2,37,0,0,0,0,0,30,9,0,0,0,0,0,1,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0
,Apogonid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
