Year,Zone,Site,AllHerb,Planktiv
2016,No-take,CattleMid,42,154
2016,No-take,CattleMid,26,166
2016,No-take,CattleMid,8,88
2016,No-take,CattleMid,6,80
2016,No-take,CattleMid,11,87
2016,No-take,CattleMid,8,156
2016,No-take,CattleMid,3,51
2016,No-take,CattleMid,10,91
2019,No-take,CattleMid,6,283
2019,No-take,CattleMid,0,141
2019,No-take,CattleMid,5,214
2019,No-take,CattleMid,10,426
2019,No-take,CattleMid,6,234
2019,No-take,CattleMid,3,69
2019,No-take,CattleMid,32,307
2019,No-take,CattleMid,58,36
2019,No-take,CattleMid,93,111
2019,No-take,CattleMid,2,281
2019,No-take,CattleMid,6,74
2020,No-take,CattleMid,5,266
2020,No-take,CattleMid,46,173
2020,No-take,CattleMid,17,200
2020,No-take,CattleMid,10,143
2020,No-take,CattleMid,23,173
2020,No-take,CattleMid,9,156
2020,No-take,CattleMid,29,67
2020,No-take,CattleMid,16,176
2020,No-take,CattleMid,11,95
2020,No-take,CattleMid,3,267
2020,No-take,CattleMid,7,159
2021,No-take,CattleMid,112,407
2021,No-take,CattleMid,27,99
2021,No-take,CattleMid,13,118
2021,No-take,CattleMid,24,67
2021,No-take,CattleMid,24,155
2021,No-take,CattleMid,20,60
2021,No-take,CattleMid,14,83
2021,No-take,CattleMid,15,246
2021,No-take,CattleMid,31,141
2021,No-take,CattleMid,55,203
2021,No-take,CattleMid,47,113
2021,No-take,CattleMid,33,98
2021,No-take,CattleMid,67,135
2022,No-take,CattleMid,61,42
2022,No-take,CattleMid,9,244
2022,No-take,CattleMid,1,23
2022,No-take,CattleMid,39,318
2022,No-take,CattleMid,50,3
2022,No-take,CattleMid,10,160
2022,No-take,CattleMid,9,27
2022,No-take,CattleMid,16,18
2022,No-take,CattleMid,36,130
2016,Fishing,HazardMid,9,27
2016,Fishing,HazardMid,30,16
2016,Fishing,HazardMid,11,20
2016,Fishing,HazardMid,15,60
2016,Fishing,HazardMid,15,95
2016,Fishing,HazardMid,0,51
2016,Fishing,HazardMid,12,141
2016,Fishing,HazardMid,27,4
2016,Fishing,HazardMid,23,31
2016,Fishing,HazardMid,24,2
2016,Fishing,HazardMid,19,39
2016,Fishing,HazardMid,0,51
2016,Fishing,HazardMid,4,15
2019,Fishing,HazardMid,6,21
2019,Fishing,HazardMid,10,23
2019,Fishing,HazardMid,13,27
2019,Fishing,HazardMid,47,56
2019,Fishing,HazardMid,8,79
2019,Fishing,HazardMid,16,3
2019,Fishing,HazardMid,0,14
2019,Fishing,HazardMid,3,87
2019,Fishing,HazardMid,2,51
2019,Fishing,HazardMid,63,38
2020,Fishing,HazardMid,40,43
2020,Fishing,HazardMid,47,145
2020,Fishing,HazardMid,0,15
2020,Fishing,HazardMid,4,7
2020,Fishing,HazardMid,3,46
2020,Fishing,HazardMid,2,49
2020,Fishing,HazardMid,22,7
2020,Fishing,HazardMid,9,73
2020,Fishing,HazardMid,10,8
2020,Fishing,HazardMid,2,11
2020,Fishing,HazardMid,24,24
2020,Fishing,HazardMid,25,19
2020,Fishing,HazardMid,13,26
2020,Fishing,HazardMid,4,22
2020,Fishing,HazardMid,11,43
2020,Fishing,HazardMid,8,32
2016,Fishing,HazardNth,0,70
2016,Fishing,HazardNth,24,19
2016,Fishing,HazardNth,25,67
2016,Fishing,HazardNth,8,153
2016,Fishing,HazardNth,14,72
2016,Fishing,HazardNth,3,45
2016,Fishing,HazardNth,4,26
2016,Fishing,HazardNth,4,34
2016,Fishing,HazardNth,60,12
2019,No-take,IrisPoint,15,134
2019,No-take,IrisPoint,10,283
2019,No-take,IrisPoint,52,166
2019,No-take,IrisPoint,12,92
2019,No-take,IrisPoint,7,161
2019,No-take,IrisPoint,4,115
2019,No-take,IrisPoint,6,89
2019,No-take,IrisPoint,33,222
2019,No-take,IrisPoint,9,124
2019,No-take,IrisPoint,18,217
2022,No-take,IrisPoint,10,14
2022,No-take,IrisPoint,7,33
2022,No-take,IrisPoint,4,7
2022,No-take,IrisPoint,1,103
2022,No-take,IrisPoint,18,356
2022,No-take,IrisPoint,1,14
2022,No-take,IrisPoint,6,93
2022,No-take,IrisPoint,2,21
2022,No-take,IrisPoint,17,440
2016,No-take,LittlePioneerSth,2,501
2016,No-take,LittlePioneerSth,42,137
2016,No-take,LittlePioneerSth,17,153
2016,No-take,LittlePioneerSth,33,302
2016,No-take,LittlePioneerSth,9,120
2016,No-take,LittlePioneerSth,25,138
2016,No-take,LittlePioneerSth,3,231
2016,No-take,LittlePioneerSth,8,140
2016,No-take,LittlePioneerSth,5,46
2016,No-take,LittlePioneerSth,6,150
2016,No-take,LittlePioneerSth,0,235
2016,No-take,LittlePioneerSth,31,202
2016,No-take,LittlePioneerSth,0,135
2016,No-take,LittlePioneerSth,2,112
2019,No-take,LittlePioneerSth,17,121
2019,No-take,LittlePioneerSth,9,115
2019,No-take,LittlePioneerSth,18,312
2019,No-take,LittlePioneerSth,35,202
2019,No-take,LittlePioneerSth,13,109
2019,No-take,LittlePioneerSth,21,206
2019,No-take,LittlePioneerSth,23,490
2019,No-take,LittlePioneerSth,21,147
2019,No-take,LittlePioneerSth,9,233
2019,No-take,LittlePioneerSth,1,135
2019,No-take,LittlePioneerSth,13,142
2019,No-take,LittlePioneerSth,8,173
2019,No-take,LittlePioneerSth,66,270
2019,No-take,LittlePioneerSth,9,375
2019,No-take,LittlePioneerSth,6,190
2019,No-take,LittlePioneerSth,8,161
2019,No-take,LittlePioneerSth,10,273
2019,No-take,LittlePioneerSth,25,122
2019,No-take,LittlePioneerSth,11,215
2019,No-take,LittlePioneerSth,3,132
2019,No-take,LittlePioneerSth,3,126
2019,No-take,LittlePioneerSth,20,501
2021,No-take,LittlePioneerSth,1,65
2021,No-take,LittlePioneerSth,12,38
2021,No-take,LittlePioneerSth,8,75
2021,No-take,LittlePioneerSth,9,26
2021,No-take,LittlePioneerSth,2,43
2021,No-take,LittlePioneerSth,0,9
2021,No-take,LittlePioneerSth,5,52
2021,No-take,LittlePioneerSth,16,61
2021,No-take,LittlePioneerSth,6,54
2021,No-take,LittlePioneerSth,8,62
2021,No-take,LittlePioneerSth,12,39
2021,No-take,LittlePioneerSth,21,40
2021,No-take,LittlePioneerSth,17,29
2022,No-take,LittlePioneerSth,21,36
2022,No-take,LittlePioneerSth,7,19
2022,No-take,LittlePioneerSth,19,61
2022,No-take,LittlePioneerSth,6,1
2022,No-take,LittlePioneerSth,14,18
2022,No-take,LittlePioneerSth,3,31
2022,No-take,LittlePioneerSth,5,0
2022,No-take,LittlePioneerSth,15,180
2019,Fishing,NEFantome,21,53
2019,Fishing,NEFantome,0,112
2019,Fishing,NEFantome,4,24
2019,Fishing,NEFantome,37,2
2019,Fishing,NEFantome,7,80
2019,Fishing,NEFantome,1,56
2019,Fishing,NEFantome,0,10
2019,Fishing,NEFantome,15,103
2019,Fishing,NEFantome,8,29
2019,Fishing,NEFantome,0,11
2019,Fishing,NEFantome,5,123
2019,Fishing,NEFantome,53,56
2020,Fishing,NEFantome,9,60
2020,Fishing,NEFantome,6,220
2020,Fishing,NEFantome,15,239
2020,Fishing,NEFantome,7,23
2020,Fishing,NEFantome,38,146
2020,Fishing,NEFantome,15,12
2020,Fishing,NEFantome,9,107
2020,Fishing,NEFantome,46,190
2020,Fishing,NEFantome,31,239
2020,Fishing,NEFantome,18,106
2022,Fishing,NEFantome,20,157
2022,Fishing,NEFantome,37,259
2022,Fishing,NEFantome,31,209
2022,Fishing,NEFantome,14,187
2022,Fishing,NEFantome,11,300
2022,Fishing,NEFantome,228,483
2022,Fishing,NEFantome,40,300
2022,Fishing,NEFantome,12,216
