Year,Zone,Site,Piscivores,Apex
2016,No-take,CattleMid,3,0
2016,No-take,CattleMid,6,0
2016,No-take,CattleMid,4,0
2016,No-take,CattleMid,14,0
2016,No-take,CattleMid,19,0
2016,No-take,CattleMid,5,2
2016,No-take,CattleMid,8,0
2016,No-take,CattleMid,24,1
2016,No-take,CattleMid,16,0
2016,No-take,CattleMid,4,0
2016,No-take,CattleMid,3,0
2016,No-take,CattleMid,8,0
2016,Fishing,HazardMid,0,0
2016,Fishing,HazardMid,6,0
2016,Fishing,HazardMid,0,0
2016,Fishing,HazardMid,4,0
2016,Fishing,HazardMid,1,0
2016,Fishing,HazardMid,8,1
2016,Fishing,HazardMid,4,0
2016,Fishing,HazardMid,7,0
2016,Fishing,HazardMid,3,0
2016,Fishing,HazardMid,5,0
2016,Fishing,HazardMid,2,0
2016,Fishing,HazardMid,1,0
2016,Fishing,HazardMid,1,0
2016,Fishing,HazardMid,3,0
2016,Fishing,HazardMid,2,0
2016,Fishing,HazardMid,2,0
2016,Fishing,HazardMid,1,0
2016,Fishing,HazardNth,6,0
2016,No-take,LittlePioneerSth,6,0
2016,No-take,LittlePioneerSth,7,0
2016,No-take,LittlePioneerSth,11,0
2016,No-take,LittlePioneerSth,9,0
2016,No-take,LittlePioneerSth,12,1
2016,No-take,LittlePioneerSth,27,2
2016,No-take,LittlePioneerSth,18,0
2016,No-take,LittlePioneerSth,10,0
2016,No-take,LittlePioneerSth,18,0
2016,No-take,LittlePioneerSth,19,1
2016,No-take,LittlePioneerSth,11,0
2016,No-take,LittlePioneerSth,12,0
2016,No-take,LittlePioneerSth,11,1
2016,No-take,LittlePioneerSth,18,2
2016,No-take,LittlePioneerSth,19,0
2016,No-take,LittlePioneerSth,10,0
2016,No-take,LittlePioneerSth,24,0
2016,No-take,LittlePioneerSth,34,0
2016,No-take,LittlePioneerSth,15,0
2016,No-take,LittlePioneerSth,30,0
2016,No-take,NEOrpheus,15,0
2016,No-take,NEOrpheus,23,0
2016,No-take,NEOrpheus,21,0
2016,No-take,NEOrpheus,9,0
2016,No-take,NEOrpheus,10,1
2016,No-take,NEOrpheus,10,0
2016,No-take,NEOrpheus,10,1
2016,No-take,NEOrpheus,11,0
2016,No-take,NEOrpheus,35,1
2016,No-take,NEOrpheus,24,0
2016,No-take,NEOrpheus,33,2
2016,No-take,NEOrpheus,41,1
2016,No-take,NEOrpheus,22,0
2016,Fishing,SEPelorus,7,0
2016,Fishing,SEPelorus,1,0
2016,Fishing,SEPelorus,2,0
2016,Fishing,SEPelorus,5,0
2016,Fishing,SEPelorus,3,0
2016,Fishing,SEPelorus,2,0
2016,Fishing,SEPelorus,3,1
2016,Fishing,SEPelorus,11,0
2016,Fishing,SnapperMid,12,0
2016,Fishing,SnapperMid,7,0
2016,Fishing,SnapperMid,6,0
2016,Fishing,SnapperMid,2,0
